Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,English Learners,,ENGR,English Reading,44
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,,ENGR,English Reading,69
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,,ENGR,English Reading,57
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,,ENGR,English Reading,61
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Multiple Races,,ENGR,English Reading,73
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Not Economically Disadvantaged,,ENGR,English Reading,71
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,,ENGR,English Reading,44
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students without Disabilities,,ENGR,English Reading,67
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,,ENGR,English Reading,74
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,3,ENGR,Grade 3 English Reading,59
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,3,ENGR,Grade 3 English Reading,100
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Economically Disadvantaged,3,ENGR,Grade 3 English Reading,52
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,English Learners,3,ENGR,Grade 3 English Reading,49
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,3,ENGR,Grade 3 English Reading,64
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,3,ENGR,Grade 3 English Reading,49
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,3,ENGR,Grade 3 English Reading,52
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Multiple Races,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Not Economically Disadvantaged,3,ENGR,Grade 3 English Reading,67
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,3,ENGR,Grade 3 English Reading,36
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students without Disabilities,3,ENGR,Grade 3 English Reading,62
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,3,ENGR,Grade 3 English Reading,68
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,4,ENGR,Grade 4 English Reading,74
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,4,ENGR,Grade 4 English Reading,86
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Economically Disadvantaged,4,ENGR,Grade 4 English Reading,73
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,English Learners,4,ENGR,Grade 4 English Reading,54
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,4,ENGR,Grade 4 English Reading,81
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,4,ENGR,Grade 4 English Reading,68
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,4,ENGR,Grade 4 English Reading,69
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Multiple Races,4,ENGR,Grade 4 English Reading,100
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Not Economically Disadvantaged,4,ENGR,Grade 4 English Reading,75
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,4,ENGR,Grade 4 English Reading,64
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students without Disabilities,4,ENGR,Grade 4 English Reading,75
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,4,ENGR,Grade 4 English Reading,100
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,5,ENGR,Grade 5 English Reading,62
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,American Indian,5,ENGR,Grade 5 English Reading,100
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,5,ENGR,Grade 5 English Reading,93
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,5,ENGR,Grade 5 English Reading,55
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Economically Disadvantaged,5,ENGR,Grade 5 English Reading,57
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,English Learners,5,ENGR,Grade 5 English Reading,24
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,5,ENGR,Grade 5 English Reading,65
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,5,ENGR,Grade 5 English Reading,52
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,5,ENGR,Grade 5 English Reading,59
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Multiple Races,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Not Economically Disadvantaged,5,ENGR,Grade 5 English Reading,74
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,5,ENGR,Grade 5 English Reading,30
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students without Disabilities,5,ENGR,Grade 5 English Reading,65
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,5,ENGR,Grade 5 English Reading,64
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,3,MATH,Grade 3 Mathematics,78
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Economically Disadvantaged,3,MATH,Grade 3 Mathematics,76
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,English Learners,3,MATH,Grade 3 Mathematics,71
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,3,MATH,Grade 3 Mathematics,79
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,3,MATH,Grade 3 Mathematics,71
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,3,MATH,Grade 3 Mathematics,76
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Multiple Races,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Not Economically Disadvantaged,3,MATH,Grade 3 Mathematics,80
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,3,MATH,Grade 3 Mathematics,55
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students without Disabilities,3,MATH,Grade 3 Mathematics,81
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,3,MATH,Grade 3 Mathematics,79
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,4,MATH,Grade 4 Mathematics,90
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,4,MATH,Grade 4 Mathematics,93
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Economically Disadvantaged,4,MATH,Grade 4 Mathematics,90
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,English Learners,4,MATH,Grade 4 Mathematics,85
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,4,MATH,Grade 4 Mathematics,89
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,4,MATH,Grade 4 Mathematics,89
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,4,MATH,Grade 4 Mathematics,91
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Multiple Races,4,MATH,Grade 4 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Not Economically Disadvantaged,4,MATH,Grade 4 Mathematics,92
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,4,MATH,Grade 4 Mathematics,73
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students without Disabilities,4,MATH,Grade 4 Mathematics,93
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,4,MATH,Grade 4 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,5,MATH,Grade 5 Mathematics,81
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,American Indian,5,MATH,Grade 5 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,5,MATH,Grade 5 Mathematics,93
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,5,MATH,Grade 5 Mathematics,64
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Economically Disadvantaged,5,MATH,Grade 5 Mathematics,78
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,English Learners,5,MATH,Grade 5 Mathematics,62
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,5,MATH,Grade 5 Mathematics,83
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,5,MATH,Grade 5 Mathematics,81
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,5,MATH,Grade 5 Mathematics,78
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Multiple Races,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Not Economically Disadvantaged,5,MATH,Grade 5 Mathematics,89
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,5,MATH,Grade 5 Mathematics,50
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students without Disabilities,5,MATH,Grade 5 Mathematics,85
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,5,MATH,Grade 5 Mathematics,82
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,,MATH,Mathematics,83
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,American Indian,,MATH,Mathematics,100
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,,MATH,Mathematics,95
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,,MATH,Mathematics,73
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Economically Disadvantaged,,MATH,Mathematics,82
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,English Learners,,MATH,Mathematics,73
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,,MATH,Mathematics,83
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,,MATH,Mathematics,81
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,,MATH,Mathematics,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,,MATH,Mathematics,83
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Multiple Races,,MATH,Mathematics,82
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Not Economically Disadvantaged,,MATH,Mathematics,85
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,,MATH,Mathematics,59
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students without Disabilities,,MATH,Mathematics,86
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,,MATH,Mathematics,85
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,,ENGR,English Reading,60
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,,ENGR,English Reading,83
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,,ENGR,English Reading,76
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Economically Disadvantaged,,ENGR,English Reading,47
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,English Learners,,ENGR,English Reading,29
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,,ENGR,English Reading,58
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,,ENGR,English Reading,45
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,,ENGR,English Reading,33
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,,ENGR,English Reading,63
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Military Connected,,ENGR,English Reading,100
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Multiple Races,,ENGR,English Reading,60
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Native Hawaiian,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Not Economically Disadvantaged,,ENGR,English Reading,82
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,,ENGR,English Reading,31
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students without Disabilities,,ENGR,English Reading,65
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,,ENGR,English Reading,86
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,3,ENGR,Grade 3 English Reading,51
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,3,ENGR,Grade 3 English Reading,100
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Economically Disadvantaged,3,ENGR,Grade 3 English Reading,37
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,English Learners,3,ENGR,Grade 3 English Reading,29
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,3,ENGR,Grade 3 English Reading,45
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,3,ENGR,Grade 3 English Reading,34
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,3,ENGR,Grade 3 English Reading,23
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,3,ENGR,Grade 3 English Reading,55
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Multiple Races,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Not Economically Disadvantaged,3,ENGR,Grade 3 English Reading,75
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students without Disabilities,3,ENGR,Grade 3 English Reading,52
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,3,ENGR,Grade 3 English Reading,100
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,4,ENGR,Grade 4 English Reading,51
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,4,ENGR,Grade 4 English Reading,65
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Economically Disadvantaged,4,ENGR,Grade 4 English Reading,41
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,English Learners,4,ENGR,Grade 4 English Reading,26
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,4,ENGR,Grade 4 English Reading,46
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,4,ENGR,Grade 4 English Reading,43
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,4,ENGR,Grade 4 English Reading,36
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,4,ENGR,Grade 4 English Reading,58
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Multiple Races,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Native Hawaiian,4,ENGR,Grade 4 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Not Economically Disadvantaged,4,ENGR,Grade 4 English Reading,79
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,4,ENGR,Grade 4 English Reading,24
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students without Disabilities,4,ENGR,Grade 4 English Reading,58
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,4,ENGR,Grade 4 English Reading,77
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,5,ENGR,Grade 5 English Reading,79
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,5,ENGR,Grade 5 English Reading,100
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Economically Disadvantaged,5,ENGR,Grade 5 English Reading,70
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,English Learners,5,ENGR,Grade 5 English Reading,38
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,5,ENGR,Grade 5 English Reading,79
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,5,ENGR,Grade 5 English Reading,66
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,5,ENGR,Grade 5 English Reading,79
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Military Connected,5,ENGR,Grade 5 English Reading,100
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Multiple Races,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Not Economically Disadvantaged,5,ENGR,Grade 5 English Reading,88
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students without Disabilities,5,ENGR,Grade 5 English Reading,84
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,5,ENGR,Grade 5 English Reading,88
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,3,MATH,Grade 3 Mathematics,73
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Economically Disadvantaged,3,MATH,Grade 3 Mathematics,65
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,English Learners,3,MATH,Grade 3 Mathematics,63
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,3,MATH,Grade 3 Mathematics,66
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,3,MATH,Grade 3 Mathematics,66
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,3,MATH,Grade 3 Mathematics,69
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,3,MATH,Grade 3 Mathematics,79
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Multiple Races,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Not Economically Disadvantaged,3,MATH,Grade 3 Mathematics,88
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students without Disabilities,3,MATH,Grade 3 Mathematics,77
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,4,MATH,Grade 4 Mathematics,67
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,4,MATH,Grade 4 Mathematics,71
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Economically Disadvantaged,4,MATH,Grade 4 Mathematics,64
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,English Learners,4,MATH,Grade 4 Mathematics,54
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,4,MATH,Grade 4 Mathematics,61
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,4,MATH,Grade 4 Mathematics,69
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,4,MATH,Grade 4 Mathematics,45
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,4,MATH,Grade 4 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Multiple Races,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Native Hawaiian,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Not Economically Disadvantaged,4,MATH,Grade 4 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,4,MATH,Grade 4 Mathematics,29
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students without Disabilities,4,MATH,Grade 4 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,4,MATH,Grade 4 Mathematics,69
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,5,MATH,Grade 5 Mathematics,83
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,5,MATH,Grade 5 Mathematics,94
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Economically Disadvantaged,5,MATH,Grade 5 Mathematics,76
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,English Learners,5,MATH,Grade 5 Mathematics,44
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,5,MATH,Grade 5 Mathematics,81
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,5,MATH,Grade 5 Mathematics,72
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,5,MATH,Grade 5 Mathematics,86
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Military Connected,5,MATH,Grade 5 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Multiple Races,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Not Economically Disadvantaged,5,MATH,Grade 5 Mathematics,90
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students without Disabilities,5,MATH,Grade 5 Mathematics,88
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,5,MATH,Grade 5 Mathematics,94
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,,MATH,Mathematics,74
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,,MATH,Mathematics,83
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,,MATH,Mathematics,82
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Economically Disadvantaged,,MATH,Mathematics,67
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,English Learners,,MATH,Mathematics,56
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,,MATH,Mathematics,69
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,,MATH,Mathematics,68
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,,MATH,Mathematics,58
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,,MATH,Mathematics,80
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Military Connected,,MATH,Mathematics,100
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Multiple Races,,MATH,Mathematics,60
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Native Hawaiian,,MATH,Mathematics,<
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Not Economically Disadvantaged,,MATH,Mathematics,85
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,,MATH,Mathematics,34
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students without Disabilities,,MATH,Mathematics,80
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,,MATH,Mathematics,86
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,,ENGR,English Reading,58
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,,ENGR,English Reading,64
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,,ENGR,English Reading,52
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Economically Disadvantaged,,ENGR,English Reading,50
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,English Learners,,ENGR,English Reading,35
