Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,5,ENGR,Grade 5 English Reading,61
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,5,ENGR,Grade 5 English Reading,42
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,5,ENGR,Grade 5 English Reading,66
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,5,ENGR,Grade 5 English Reading,60
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,5,ENGR,Grade 5 English Reading,65
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,5,ENGR,Grade 5 English Reading,80
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,5,ENGR,Grade 5 English Reading,92
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,5,ENGR,Grade 5 English Reading,<
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,5,ENGR,Grade 5 English Reading,73
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,5,ENGR,Grade 5 English Reading,87
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,3,MATH,Grade 3 Mathematics,87
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,3,MATH,Grade 3 Mathematics,88
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,3,MATH,Grade 3 Mathematics,83
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,3,MATH,Grade 3 Mathematics,74
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,3,MATH,Grade 3 Mathematics,86
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,3,MATH,Grade 3 Mathematics,78
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,3,MATH,Grade 3 Mathematics,87
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,3,MATH,Grade 3 Mathematics,93
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,3,MATH,Grade 3 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,3,MATH,Grade 3 Mathematics,89
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,3,MATH,Grade 3 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,4,MATH,Grade 4 Mathematics,83
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,4,MATH,Grade 4 Mathematics,86
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,4,MATH,Grade 4 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,4,MATH,Grade 4 Mathematics,75
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,4,MATH,Grade 4 Mathematics,71
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,4,MATH,Grade 4 Mathematics,78
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,4,MATH,Grade 4 Mathematics,74
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,4,MATH,Grade 4 Mathematics,64
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,4,MATH,Grade 4 Mathematics,87
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,4,MATH,Grade 4 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,4,MATH,Grade 4 Mathematics,94
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,4,MATH,Grade 4 Mathematics,54
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,4,MATH,Grade 4 Mathematics,88
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,4,MATH,Grade 4 Mathematics,100
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,5,MATH,Grade 5 Mathematics,65
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,5,MATH,Grade 5 Mathematics,92
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,5,MATH,Grade 5 Mathematics,40
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,5,MATH,Grade 5 Mathematics,56
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,5,MATH,Grade 5 Mathematics,47
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,5,MATH,Grade 5 Mathematics,64
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,5,MATH,Grade 5 Mathematics,58
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,5,MATH,Grade 5 Mathematics,65
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,5,MATH,Grade 5 Mathematics,66
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,5,MATH,Grade 5 Mathematics,81
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,5,MATH,Grade 5 Mathematics,67
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,5,MATH,Grade 5 Mathematics,80
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,,MATH,Mathematics,77
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,,MATH,Mathematics,88
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,,MATH,Mathematics,70
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,,MATH,Mathematics,71
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,,MATH,Mathematics,65
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,,MATH,Mathematics,75
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,,MATH,Mathematics,69
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,,MATH,Mathematics,64
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,,MATH,Mathematics,80
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,,MATH,Mathematics,100
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,,MATH,Mathematics,<
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,,MATH,Mathematics,89
