ID Age,Age,ID Year,Year,ID Poverty Status,Poverty Status,Poverty Population,Poverty Population Moe,Geography,ID Geography,Slug Geography,share,Sex,ID Sex
3,"12 to 14 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",29,32,"Sterling, VA","16000US5175376","sterling-va",0.016801853997682505,"Female",1
4,"15 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",11,17,"Sterling, VA","16000US5175376","sterling-va",0.006373117033603708,"Male",0
4,"15 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",19,28.999999999999996,"Sterling, VA","16000US5175376","sterling-va",0.01100811123986095,"Female",1
5,"16 & 17 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",50,62,"Sterling, VA","16000US5175376","sterling-va",0.028968713789107765,"Male",0
5,"16 & 17 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",25,39,"Sterling, VA","16000US5175376","sterling-va",0.014484356894553883,"Female",1
6,"18 to 24 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",73,74,"Sterling, VA","16000US5175376","sterling-va",0.042294322132097335,"Male",0
6,"18 to 24 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",225,181,"Sterling, VA","16000US5175376","sterling-va",0.13035921205098494,"Female",1
7,"25 to 34 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",34,34,"Sterling, VA","16000US5175376","sterling-va",0.019698725376593278,"Male",0
7,"25 to 34 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",43,32,"Sterling, VA","16000US5175376","sterling-va",0.024913093858632676,"Female",1
8,"35 to 44 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",13,20,"Sterling, VA","16000US5175376","sterling-va",0.007531865585168019,"Male",0
8,"35 to 44 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",240,118,"Sterling, VA","16000US5175376","sterling-va",0.13904982618771727,"Female",1
9,"45 to 54 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",75,57.99999999999999,"Sterling, VA","16000US5175376","sterling-va",0.043453070683661645,"Male",0
9,"45 to 54 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",63,47,"Sterling, VA","16000US5175376","sterling-va",0.03650057937427578,"Female",1
10,"55 to 64 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",54,42,"Sterling, VA","16000US5175376","sterling-va",0.031286210892236384,"Male",0
10,"55 to 64 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",65,46,"Sterling, VA","16000US5175376","sterling-va",0.03765932792584009,"Female",1
11,"65 to 74 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",23,35,"Sterling, VA","16000US5175376","sterling-va",0.013325608342989572,"Male",0
11,"65 to 74 Years",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",169,114.00000000000001,"Sterling, VA","16000US5175376","sterling-va",0.09791425260718424,"Female",1
12,"75 Years & Over",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",49,50,"Sterling, VA","16000US5175376","sterling-va",0.028389339513325607,"Male",0
12,"75 Years & Over",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",146,74,"Sterling, VA","16000US5175376","sterling-va",0.08458864426419467,"Female",1
0,"Under 5 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",42,33,"Sterling, VA","16000US5175376","sterling-va",0.028225806451612902,"Male",0
0,"Under 5 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",21,25,"Sterling, VA","16000US5175376","sterling-va",0.014112903225806451,"Female",1
1,"5 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",55,53,"Sterling, VA","16000US5175376","sterling-va",0.03696236559139785,"Male",0
1,"5 Years",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",35,42,"Sterling, VA","16000US5175376","sterling-va",0.023521505376344086,"Female",1
